Name,Managed By,Registration Platform,DNS Provider,Expiration Date,🕸️ Site,🧑‍🚀 Client,Internal DNS Controls,Notes,Registrar Account,📇 Agency Partner
blackriveractionteam.org,Indelible,,Cloudflare,"July 22, 2026",,,,,,
crownpointbuilders.com,Indelible,Cloudflare,Cloudflare,"December 9, 2025",Crown Point Contracting (https://www.notion.so/Crown-Point-Contracting-157e607ad424805e8b53eb2086f7a914?pvs=21),,,,,
mitchsmaples.com,Indelible,,Cloudflare,,mitchsmaples.com (https://www.notion.so/mitchsmaples-com-205e607ad42480318872c9e0215a7bc9?pvs=21),,,,,
http://vpccn.org/,Indelible,,vpccn.org,,vtparentchildcenternetwork.org (https://www.notion.so/vtparentchildcenternetwork-org-1a6e607ad42480919f8acd1469eebeaa?pvs=21),,,,,
vtparentchildnetwork.org,Indelible,,Cloudflare,,vtparentchildcenternetwork.org (https://www.notion.so/vtparentchildcenternetwork-org-1a6e607ad42480919f8acd1469eebeaa?pvs=21),,,,,
globeleenergy.com,Client,,,,globeleenergy.com (https://www.notion.so/globeleenergy-com-202e607ad424809d96e0c0d73c60ee99?pvs=21),,,,,
https://dash.cloudflare.com/837a694aa534ca841f0eb2a8fb59bf8a/knowingchristministries.org,Indelible,,Cloudflare,,knowingchrist.org (https://www.notion.so/knowingchrist-org-200e607ad42480dea076fcfff2b28229?pvs=21),,,,Client,
knowingchrist.org,Indelible,,Cloudflare,,knowingchrist.org (https://www.notion.so/knowingchrist-org-200e607ad42480dea076fcfff2b28229?pvs=21),,,,Client,
bethanybaptist.org,Indelible,,Cloudflare,,bethanycentral.org (https://www.notion.so/bethanycentral-org-200e607ad424809fbf95faab07381ff9?pvs=21),,,,Client,
herbapumps.com,Indelible,GoDaddy,Cloudflare,,herbapumps.com (https://www.notion.so/herbapumps-com-999d6f03259541ff8a48e07f7326f0ad?pvs=21),,,,Client,
mikelynnfilm.com,,,,,mikelynnfilm.com (https://www.notion.so/mikelynnfilm-com-1f7e607ad42480839d86d35f9d2f30e6?pvs=21),,,,,
wildbeautyfoundation.org,Indelible,GoDaddy,Cloudflare,"June 9, 2026",wildbeautyfoundation.org (https://www.notion.so/wildbeautyfoundation-org-1ede607ad4248043963cfa70c21748f9?pvs=21),Wild Beauty Foundation (https://www.notion.so/Wild-Beauty-Foundation-1ede607ad424803b91c6ff58b5ae4c52?pvs=21),,,Indelible,
emporium.thevermontstandard.com,Indelible,,Cloudflare,,Emporium (https://www.notion.so/Emporium-1ece607ad42480ef967bcd820d415c74?pvs=21),,,,,
calvarylovesspringfield.com,Indelible,GoDaddy,Cloudflare,,calvarylovesspringfield.com (https://www.notion.so/calvarylovesspringfield-com-1e8e607ad4248084b23bcc8c78a46b85?pvs=21),,,,,
mntitlesolutions.com,Client,GoDaddy,GoDaddy,,mntitlesolutions.com (https://www.notion.so/mntitlesolutions-com-1c8e607ad4248007b31fef3b5b935a2a?pvs=21),MN Title Solutions (https://www.notion.so/MN-Title-Solutions-1e5e607ad424808cab77c0df74fbbae1?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
thermalnetics.com,,,,,thermalnetics.com (https://www.notion.so/thermalnetics-com-1e4e607ad4248038bd84d36bd12ac765?pvs=21),,,,,
hvacmarketingleaders.com,Indelible,Cloudflare,Cloudflare,,hvacmarketingleaders.com (https://www.notion.so/hvacmarketingleaders-com-1e4e607ad42480b3b7e2ff3a39a6db7c?pvs=21),Nerd Herd (https://www.notion.so/Nerd-Herd-1c8e607ad42480a295cbcca27ea0e26f?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
griswoldcontrols.com,Client,Network Solutions,GoDaddy,,griswoldcontrols.com (https://www.notion.so/griswoldcontrols-com-1e4e607ad42480f188e5de279bdcbe50?pvs=21),,Yes,Managed in Client’s accounts,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
nerdherdpro.com,Client,GoDaddy,GoDaddy,,nerdherdpro.com (https://www.notion.so/nerdherdpro-com-1bee607ad4248043b931de742a7ecaa4?pvs=21),Nerd Herd (https://www.notion.so/Nerd-Herd-1c8e607ad42480a295cbcca27ea0e26f?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
meidlconcreteservices.com,Indelible,Cloudflare,Cloudflare,"April 27, 2025",meidlconcreteservices.com (https://www.notion.so/meidlconcreteservices-com-1e2e607ad4248035bbbafdc1b73cf0d1?pvs=21),Meidl (https://www.notion.so/Meidl-1e2e607ad424805da20ac7aec6c4217c?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
executiveassociatestitleotsego.com,Client,GoDaddy,,,mntitlesolutions.com (https://www.notion.so/mntitlesolutions-com-1c8e607ad4248007b31fef3b5b935a2a?pvs=21),,,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
jillscafe.net,Indelible,Cloudflare,WPMU Dev,,jillscafe.net (https://www.notion.so/jillscafe-net-1bee607ad42480228736f299dc9c72ab?pvs=21),Jills Cafe (https://www.notion.so/Jills-Cafe-1e4e607ad42480e9a86ee1404ffe6154?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
bearridgebooks.com,Indelible,,WPMU Dev,,bearridgebooks.com (https://www.notion.so/bearridgebooks-com-206e607ad424807d81b1f21629e4295e?pvs=21),,,,,
wordworksforyou.org,Indelible,GoDaddy,Cloudflare,,,,,,,
wildbeautyfilm.com,Indelible,,Cloudflare,,,,,,,
whoismikedion.com,Indelible,,Cloudflare,,,,,,,
whitespire.net,Indelible,,Cloudflare,,,,,,,
vtparentchildcenternetwork.org,Indelible,,Cloudflare,,,,,,,
vtmutualaid.com,Indelible,,Cloudflare,,,,,,,
vpccn.org,Indelible,,Cloudflare,,,,,,,
vermonturns.com,Indelible,,Cloudflare,,,,,,,
uncle-jimmys.com,Indelible,,Cloudflare,,,,,,,
thevermontstandard.com,Indelible,,Cloudflare,,,,,,,
springfieldonthemove.net,Indelible,,Cloudflare,,,,,,,
sportsenhancementforlife.com,Indelible,,Cloudflare,,,,,,,
sepvt.com,Indelible,,Cloudflare,,,,,,,
sep-program.com,Indelible,,Cloudflare,,,,,,,
sataninchief.com,Indelible,,Cloudflare,,,,,,,
sapcc-vt.org,Indelible,,Cloudflare,,,,,,,
rhp-corp.com,Indelible,,Cloudflare,,,,,,,
poketheaxion.com,Indelible,,Cloudflare,,,,,,,
pixadonapi.com,Indelible,,Cloudflare,,,,,,,
northstarfqhc.org,Indelible,,Cloudflare,,,,,,,
nerdherd.marketing,Indelible,Cloudflare,Cloudflare,"March 16, 2026",nerdherdpro.com (https://www.notion.so/nerdherdpro-com-1bee607ad4248043b931de742a7ecaa4?pvs=21),Nerd Herd (https://www.notion.so/Nerd-Herd-1c8e607ad42480a295cbcca27ea0e26f?pvs=21),,,,Nerd Herd (https://www.notion.so/Nerd-Herd-1bee607ad42480919b1fee42f6d797d2?pvs=21)
mythicrogues.com,Indelible,,Cloudflare,,,,,,,
mycoachjoe.com,Indelible,,Cloudflare,,,,,,,
mitquick.com,Indelible,,Cloudflare,,,,,,,
mitchsmaples.com,Indelible,,Cloudflare,,,,,,,
mikelynnfilm.com,Indelible,,Cloudflare,,,,,,,
ltmsvt.com,Indelible,,Cloudflare,,,,,,,
longtrailmultisport.com,Indelible,,Cloudflare,,,,,,,
longtrailms.com,Indelible,,Cloudflare,,,,,,,
kratompump.com,Indelible,,Cloudflare,,,,,,,
knowingchrist.org,Indelible,,Cloudflare,,,,,,,
knowingchristministries.org,Indelible,,Cloudflare,,,,,,,
kbcrashcreations.com,Indelible,,Cloudflare,,,,,,,
indelible-test.com,Indelible,,Cloudflare,,,,,,,
herba-releaf.com,Indelible,,Cloudflare,,,,,,,
herbapumps.com,Indelible,,Cloudflare,,,,,,,
griffinconstructionnh.com,Indelible,,Cloudflare,,,,,,,
firstchurchspringfield.com,Indelible,,Cloudflare,,,,,,,
fentonandhennessey.com,Indelible,,Cloudflare,,,,,,,
eatbetterchew.com,Indelible,,Cloudflare,,,,,,,
do802.com,Indelible,,Cloudflare,,,,,,,
deadenglish.com,Indelible,,Cloudflare,,,,,,,
crownpointcontracting.com,Indelible,,Cloudflare,,,,,,,
crappymusic.io,Indelible,,Cloudflare,,,,,,,
coffeeandjoe.com,Indelible,,Cloudflare,,,,,,,
coachjoseph.com,Indelible,,Cloudflare,,,,,,,
calvarylovesspringfield.com,Indelible,,Cloudflare,,,,,,,
bootleggersfootwear.net,Indelible,,Cloudflare,,,,,,,
bootleggersfootwear.com,Indelible,,Cloudflare,,,,,,,
betterchewkitchen.com,Indelible,,Cloudflare,,,,,,,
bethanycentral.org,Indelible,,Cloudflare,,,,,,,
bentonandcrew.com,Indelible,,Cloudflare,,,,,,,
becomeindelible.com,Indelible,,Cloudflare,,,,,,,
animeaccelerator.com,Indelible,,Cloudflare,,,,,,,
adhdmomshirts.com,Indelible,,Cloudflare,,,,,,,
abundanceacres.org,Indelible,,Cloudflare,,,,,,,
abbottsepticservices.com,Indelible,,Cloudflare,,,,,,,
3dGameAssets.io,Indelible,,Cloudflare,,,,,,,
dreamsingear.com,,,,,dreamsingear.com (https://www.notion.so/dreamsingear-com-182e607ad42480e3904ff70976b99562?pvs=21),Jon Haehnel (https://www.notion.so/Jon-Haehnel-22ee607ad42480b48856f517c459b8fa?pvs=21),,,,
spritelees.tempurl.host,,,,,spritelees.com (https://www.notion.so/spritelees-com-200e607ad424806fa4d2c040960f7e0c?pvs=21),,,,,
grokoftherok.tempurl.host,,,,,grokoftherock (https://www.notion.so/grokoftherock-268e607ad424805db88ed3a080e79151?pvs=21),,,,,